Company Name,Link to Wikipedia Page,GICS Sector,GICS Sub-Industry,Headquarters Location,Industry,Revenue,Net Income,Number of Employees,Market Cap,CEO,Founder(s),Founded
3M,https://en.wikipedia.org/wiki/3M,Industrial Conglomerates,"Saint Paul, Minnesota",1957-03-04,Conglomerate,32.68,6.99,85000,,William M. Brown,"J. Danley Budd, Henry S. Bryan, William A. McGonagle, John Dwan, Hermon W. Cable, Charles Simmons",1902
A. O. Smith,https://en.wikipedia.org/wiki/A._O._Smith,Building Products,"Milwaukee, Wisconsin",2017-07-26,Water technology,2.9,0.37,151005,,Kevin J. Wheeler,Charles Jeremiah Smith,1874
Abbott Laboratories,https://en.wikipedia.org/wiki/Abbott_Laboratories,Health Care Equipment,"North Chicago, Illinois",1957-03-04,"Health care, Medical devices, Pharmaceutical",40.1,5.72,114000,,,Wallace Calvin Abbott,1888
AbbVie,https://en.wikipedia.org/wiki/AbbVie,Biotechnology,"North Chicago, Illinois",2012-12-31,Biopharmaceutical,54.32,4.873,50000,,Robert Michael,,2012
Accenture,https://en.wikipedia.org/wiki/Accenture,IT Consulting & Other Services,"Dublin, Ireland",2011-07-06,"Professional services, Information technology consulting",64.9,7.42,774000,,Julie Sweet,,1989
Adobe Inc.,https://en.wikipedia.org/wiki/Adobe_Inc.,Application Software,"San Jose, California",1997-05-05,Software,19.41,5.428,29945,,Shantanu Narayen,"John Warnock, Charles Geschke",1982
Advanced Micro Devices,https://en.wikipedia.org/wiki/AMD,Semiconductors,"Santa Clara, California",2017-03-20,"Semiconductors, Artificial intelligence, GPUs, Consumer electronics, Video games, Computer hardware",22.68,0.854,26000,,Lisa Su,Team led byJerry Sanders,1969
AES Corporation,https://en.wikipedia.org/wiki/AES_Corporation,Independent Power Producers & Energy Traders,"Arlington, Virginia",1998-10-02,Energy,12.7,0.249,9600,,Jay Morse,"Roger Sant, Dennis Bakke",1981
Aflac,https://en.wikipedia.org/wiki/Aflac,Life & Health Insurance,"Columbus, Georgia",1999-05-28,InsuranceHuman resourcesservices,18.7,4.659,12785,,Dan Amos,"John Amos, Paul Amos, Bill Amos",1955
Agilent Technologies,https://en.wikipedia.org/wiki/Agilent_Technologies,Life Sciences Tools & Services,"Santa Clara, California",2000-06-05,Healthcare equipment and services,6.83,1.24,18100,,Padraig McDonnell,,1999
Air Products,https://en.wikipedia.org/wiki/Air_Products,Industrial Gases,"Upper Macungie Township, Pennsylvania",1985-04-30,"Industrial gas,chemicals",12.6,2.34,23000,,Seifi Ghasemi,Leonard P. Pool,1940
Airbnb,https://en.wikipedia.org/wiki/Airbnb,"Hotels, Resorts & Cruise Lines","San Francisco, California",2023-09-18,Lodging,5.99,0.352,6907,,Brian Chesky,"Brian Chesky, Joe Gebbia, Nathan Blecharczyk",2008
Akamai Technologies,https://en.wikipedia.org/wiki/Akamai_Technologies,Internet Services & Infrastructure,"Cambridge, Massachusetts",2007-07-12,"Internet, Cloud computing",3.81,0.548,10250,,F. Thomson Leighton,"Daniel Lewin, F. Thomson Leighton, Randall Kaplan, Preetish Nijhawan, Jonathan Seelig",1998
Albemarle Corporation,https://en.wikipedia.org/wiki/Albemarle_Corporation,Specialty Chemicals,"Charlotte, North Carolina",2016-07-01,Chemical industry,9.62,1.57,9000,,Kent Masters,,1994
Alexandria Real Estate Equities,https://en.wikipedia.org/wiki/Alexandria_Real_Estate_Equities,Office REITs,"Pasadena, California",2017-03-20,Real estate investment trust,2.588,0.513,593,,,Joel S. MarcusJerry M. Sudarsky,1994
Align Technology,https://en.wikipedia.org/wiki/Align_Technology,Health Care Supplies,"Tempe, Arizona",2017-06-19,Orthodonticsdevices,3.86,0.445,21610,,Joe Hogan,"Zia Chishti, Kelsey Wirth",1997
Allegion,https://en.wikipedia.org/wiki/Allegion,Building Products,"Dublin, Ireland",2013-12-02,"Security,Access control",3.27,0.458,120002,,,,1908
Alliant Energy,https://en.wikipedia.org/wiki/Alliant_Energy,Electric Utilities,"Madison, Wisconsin",2016-07-01,Utilities,3.669,0.674,33752,,,,1917
Allstate,https://en.wikipedia.org/wiki/Allstate,Property & Casualty Insurance,"Northbrook, Illinois",1995-07-13,Insurance,57.09,0.213,53000,,Thomas J. Wilson,,1931
Alphabet Inc. (Class A),https://en.wikipedia.org/wiki/Alphabet_Inc.,Interactive Media & Services,"Mountain View, California",2014-04-03,Conglomerate,307.4,73.79,181269,,Sundar Pichai,"Larry Page, Sergey Brin",1998
Alphabet Inc. (Class C),https://en.wikipedia.org/wiki/Alphabet_Inc.,Interactive Media & Services,"Mountain View, California",2006-04-03,Conglomerate,307.4,73.79,181269,,Sundar Pichai,"Larry Page, Sergey Brin",1998
Altria,https://en.wikipedia.org/wiki/Altria,Tobacco,"Richmond, Virginia",1957-03-04,Tobacco,21.111,2.475,6000,,Billy Gifford,,1985
Amazon,https://en.wikipedia.org/wiki/Amazon_(company),Broadline Retail,"Seattle, Washington",2005-11-18,Conglomerate,574.8,30.43,1525000,,Andy Jassy,Jeff Bezos,1994
Amcor,https://en.wikipedia.org/wiki/Amcor,Paper & Plastic Packaging Products & Materials,"Warmley, Bristol, United Kingdom",2019-06-07,Packaging,13.6,0.74,41000,,,,1896
Amentum,https://en.wikipedia.org/wiki/Amentum_(company),Diversified Support Services,"Chantilly, Virginia",2024-09-30,"National security,defense,healthcare,engineering",9.0,,50000,,John Heller,,2020
Ameren,https://en.wikipedia.org/wiki/Ameren,Multi-Utilities,"St. Louis, Missouri",1991-09-19,Utilities,5.794,0.871,9116,,,,1997
American Electric Power,https://en.wikipedia.org/wiki/American_Electric_Power,Electric Utilities,"Columbus, Ohio",1957-03-04,Electric utilities,19.0,2.21,17250,,Ben Fowke,,1906
American Express,https://en.wikipedia.org/wiki/American_Express,Consumer Finance,"New York City, New York",1976-06-30,"Banking, Payment card services",60.52,8.374,74600,,Stephen J. Squeri,,1850
American International Group,https://en.wikipedia.org/wiki/American_International_Group,Multi-line Insurance,"New York City, New York",1980-03-31,Financial services,46.8,3.614,25200,,Peter Zaffino,Cornelius Vander Starr,1919
American Tower,https://en.wikipedia.org/wiki/American_Tower,Telecom Tower REITs,"Boston, Massachusetts",2007-11-19,"Real estate investment trust, Communication services",11.14,1.483,5643,,Steven Vondran,,1995
American Water Works,https://en.wikipedia.org/wiki/American_Water_Works,Water Utilities,"Camden, New Jersey",2016-03-04,UtilitiesWater and wastewater,3.93,1.26,65003,,,"James S. Kuhn, W.S. Kuhn",1886
Ameriprise Financial,https://en.wikipedia.org/wiki/Ameriprise_Financial,Asset Management & Custody Banks,"Minneapolis, Minnesota",2005-10-03,Financial services,13.44,2.76,12000,,James M. Cracchiolo,John Tappanand J.R. Ridgway,1894
Ametek,https://en.wikipedia.org/wiki/Ametek,Electrical Components & Equipment,"Berwyn, Pennsylvania",2013-09-23,Conglomerate,6.6,1.31,21500,,David A. Zapico,,1930
Amgen,https://en.wikipedia.org/wiki/Amgen,Biotechnology,"Thousand Oaks, California",1992-01-02,Biotechnology,28.19,6.717,26700,,Robert A. Bradway,,1980
Amphenol,https://en.wikipedia.org/wiki/Amphenol,Electronic Components,"Wallingford, Connecticut",2008-09-30,electronics,12.6,1.93,95000,,R. Adam Norwitt,Arthur J. Schmitt,1932
Analog Devices,https://en.wikipedia.org/wiki/Analog_Devices,Semiconductors,"Wilmington, Massachusetts",1999-10-12,Semiconductors,12.3,3.31,26000,,Vincent Roche,"Ray Stata, Matthew Lorber",1965
Ansys,https://en.wikipedia.org/wiki/Ansys,Application Software,"Canonsburg, Pennsylvania",2017-06-19,Computer software,2.27,0.5,6200,,Ajei S. Gopal,,1970
Aon,https://en.wikipedia.org/wiki/Aon_(company),Insurance Brokers,"London, UK",1996-04-23,Financial services,13.38,2.564,50000,,Greg Case,Patrick Ryan,1982
APA Corporation,https://en.wikipedia.org/wiki/APA_Corporation,Oil & Gas Exploration & Production,"Houston, Texas",1997-07-28,Petroleum industry,7.985,0.973,2253,,John J. Christmann IV,"Truman Anderson, Charles Arnao, Raymond Plank",1954
Apple Inc.,https://en.wikipedia.org/wiki/Apple_Inc.,"Technology Hardware, Storage & Peripherals","Cupertino, California",1982-11-30,"Consumer electronics, Software services, Online services",391.04,93.74,164000,,Tim Cook,"Steve Jobs, Steve Wozniak, Ronald Wayne",1976
Applied Materials,https://en.wikipedia.org/wiki/Applied_Materials,Semiconductor Materials & Equipment,"Santa Clara, California",1995-03-16,Semiconductors,26.52,6.856,34000,,Gary E. Dickerson,Michael A. McNeilly,1967
Aptiv,https://en.wikipedia.org/wiki/Aptiv,Automotive Parts & Equipment,"Dublin, Ireland",2012-12-24,Automotive,20.05,2.966,154000,,Kevin P. Clark,,1994
Arch Capital Group,https://en.wikipedia.org/wiki/Arch_Capital_Group,Property & Casualty Insurance,"Hamilton, Bermuda",2022-11-01,"Insurance, Finance",9.25,2.24,5800,,Marc Grandisson,"Robert Clements, Peter A. Appel",2000
Archer Daniels Midland,https://en.wikipedia.org/wiki/Archer_Daniels_Midland,Agricultural Products & Services,"Chicago, Illinois",1957-03-04,"Food processing, Commodities",93.9,3.48,41802,,Juan Luciano,"George A. Archer, John W. Daniels",1902
Arista Networks,https://en.wikipedia.org/wiki/Arista_Networks,Communications Equipment,"Santa Clara, California",2018-08-28,Networking hardware,5.86,2.09,4023,,Jayshree Ullal,"Andy Bechtolsheim, Kenneth Duda, David Cheriton",2004
Arthur J. Gallagher & Co.,https://en.wikipedia.org/wiki/Arthur_J._Gallagher_%26_Co.,Insurance Brokers,"Rolling Meadows, Illinois",2016-05-31,"Brokerage, Insurance",10.07,0.97,52000,,"J. Patrick Gallagher, Jr.",Arthur J. Gallagher,1927
Assurant,https://en.wikipedia.org/wiki/Assurant,Multi-line Insurance,"Atlanta, Georgia",2007-04-10,Insurance,11.1,0.643,13600,,Keith W. Demmings,,1892
AT&T,https://en.wikipedia.org/wiki/AT%26T,Integrated Telecommunication Services,"Dallas, Texas",1983-11-30,Telecommunications,122.4,15.62,149900,,John Stankey,,1885
Atmos Energy,https://en.wikipedia.org/wiki/Atmos_Energy,Gas Utilities,"Dallas, Texas",2019-02-15,Energy,2.82,0.6013999999999999,5019,,J. Kevin Akers,,1906
Autodesk,https://en.wikipedia.org/wiki/Autodesk,Application Software,"San Francisco, California",1989-12-01,"Software, media & entertainment, manufacturing & industrial, bioscience",5.5,0.906,14100,,Andrew Anagnost,"John Walker, Dan Drake",1982
Automatic Data Processing,https://en.wikipedia.org/wiki/ADP_(company),Human Resource & Employment Services,"Roseland, New Jersey",1981-03-31,"Business services, Software",19.2,3.75,64000,,Maria Black,Henry Taub,1949
AutoZone,https://en.wikipedia.org/wiki/AutoZone,Automotive Retail,"Memphis, Tennessee",1997-01-02,Retail,17.48,2.528,119000,,Phil Daniele,Pitt Hyde,1979
AvalonBay Communities,https://en.wikipedia.org/wiki/AvalonBay_Communities,Multi-Family Residential REITs,"Arlington, Virginia",2007-01-10,Real estate investment trust,2.301,0.827,3090,,Timothy J. Naughton,,1978
Avery Dennison,https://en.wikipedia.org/wiki/Avery_Dennison,Paper & Plastic Packaging Products & Materials,"Mentor, Ohio",1987-12-31,Packaging,8.36,0.503,35000,,Deon Stander,R. Stanton Avery(Avery International Corporation)Andrew DennisonAaron Lufkin Dennison (Dennison Manufacturing Company),1935
Axon Enterprise,https://en.wikipedia.org/wiki/Axon_Enterprise,Aerospace & Defense,"Scottsdale, Arizona",2023-05-04,,1.56,0.174,3330,,Patrick W. Smith,"Patrick W. Smith, Thomas P. Smith",1993
Baker Hughes,https://en.wikipedia.org/wiki/Baker_Hughes,Oil & Gas Equipment & Services,"Houston, Texas",2017-07-07,Petroleum industry,25.51,1.97,58000,,Lorenzo Simonelli,,1908
Ball Corporation,https://en.wikipedia.org/wiki/Ball_Corporation,"Metal, Glass & Plastic Containers","Broomfield, Colorado",1984-10-31,Packaging,14.0,0.711,21000,,Dan Fisher,,1880
Bank of America,https://en.wikipedia.org/wiki/Bank_of_America,Diversified Banks,"Charlotte, North Carolina",1976-06-30,Financial services,98.6,26.5,213000,,Brian Moynihan,,1998
Baxter International,https://en.wikipedia.org/wiki/Baxter_International,Health Care Equipment,"Deerfield, Illinois",1972-09-30,Medical equipment,14.81,2.663,60000,,José E. Almeida,Donald Baxter,1931
Becton Dickinson,https://en.wikipedia.org/wiki/BD_(company),Health Care Equipment,"Franklin Lakes, New Jersey",1972-09-30,"Medical equipment,Consulting",20.248,2.002,75000,,Tom Polen,"Maxwell Becton, Fairleigh S. Dickinson",1897
Berkshire Hathaway,https://en.wikipedia.org/wiki/Berkshire_Hathaway,Multi-Sector Holdings,"Omaha, Nebraska",2010-02-16,Conglomerate,364.5,96.22,396500,,Warren Buffett,Oliver Chace,1839
Best Buy,https://en.wikipedia.org/wiki/Best_Buy,Computer & Electronics Retail,"Richfield, Minnesota",1999-06-29,Retail,43.45,1.241,85000,,Corie Barry,"Richard M. Schulze, James Wheeler",1966
Bio-Techne,https://en.wikipedia.org/wiki/Bio-Techne,Life Sciences Tools & Services,"Minneapolis, Minnesota",2021-08-30,Biotechnology,1.16,0.168,3100,,Kim Kelderman,Roger C. Lucas,1976
Biogen,https://en.wikipedia.org/wiki/Biogen,Biotechnology,"Cambridge, Massachusetts",2003-11-13,Biotechnology,9.836,1.162,7570,,Chris Viehbacher,"Kenneth Murray, Phillip Allen Sharp, Walter Gilbert, Heinz Schaller, Charles Weissmann",1978
BlackRock,https://en.wikipedia.org/wiki/BlackRock,Asset Management & Custody Banks,"New York City, New York",2011-04-04,Investments,17.86,5.502,19800,,,"Robert S. Kapito, Larry Fink, Susan Wagner",1988
Blackstone Inc.,https://en.wikipedia.org/wiki/Blackstone_Inc.,Asset Management & Custody Banks,"New York City, New York",2023-09-18,Financial services,8.02,2.44,4735,,Stephen Schwarzman,"Peter Peterson, Stephen Schwarzman",1985
BNY Mellon,https://en.wikipedia.org/wiki/BNY_Mellon,Asset Management & Custody Banks,"New York City, New York",1995-03-31,"Banking, Financial services",17.5,3.051,53400,,Robin Vince,,2007
Boeing,https://en.wikipedia.org/wiki/Boeing,Aerospace & Defense,"Arlington, Virginia",1957-03-04,Aerospace,77.79,2.24,170688,,Kelly Ortberg,William E. Boeing,1916
Booking Holdings,https://en.wikipedia.org/wiki/Booking_Holdings,"Hotels, Resorts & Cruise Lines","Norwalk, Connecticut",2009-11-06,"Travel, Technology",21.37,4.289,23600,,Glenn D. Fogel,Jay S. Walker,1996
BorgWarner,https://en.wikipedia.org/wiki/BorgWarner,Automotive Parts & Equipment,"Auburn Hills, Michigan",2011-12-19,"Automotive industry,E-Mobility",14.2,0.695,39900,,Frédéric Lissalde,,1880
Boston Scientific,https://en.wikipedia.org/wiki/Boston_Scientific,Health Care Equipment,"Marlborough, Massachusetts",1995-02-24,Medical device,14.24,1.592,480001,,Michael F. Mahoney,"John Abele, Peter Nicholas",1979
Bristol Myers Squibb,https://en.wikipedia.org/wiki/Bristol_Myers_Squibb,Pharmaceuticals,"New York City, New York",1957-03-04,Pharmaceuticals,45.01,8.04,34100,,Chris Boerner,"William McLaren Bristol, John Ripley Myers, E. R. Squibb",1887
Broadcom,https://en.wikipedia.org/wiki/Broadcom,Semiconductors,"Palo Alto, California",2014-05-08,"Semiconductor, Computer software",35.82,14.08,40000,,Henry Samueli,,1961
Broadridge Financial Solutions,https://en.wikipedia.org/wiki/Broadridge_Financial_Solutions,Data Processing & Outsourced Services,"Lake Success, New York",2018-06-18,Financial technology,6.507,0.698,14000,,Tim Gokey,,2007
Brown & Brown,https://en.wikipedia.org/wiki/Brown_%26_Brown,Insurance Brokers,"Daytona Beach, Florida",2021-09-20,Property & casualty insurance,3.051,0.5871000000000001,12023,,,,1939
Brown–Forman,https://en.wikipedia.org/wiki/Brown%E2%80%93Forman,Distillers & Vintners,"Louisville, Kentucky",1982-10-31,Drink industry,5.32,0.903,5600,,Lawson E. Whiting,George Garvin Brown,1870
Builders FirstSource,https://en.wikipedia.org/wiki/Builders_FirstSource,Building Products,"Irving, Texas",2023-12-18,,"22,726,418,000 United States dollar (2022)","2,749,369,000 United States dollar (2022)",,,Peter Jackson,,1998
Bunge Global,https://en.wikipedia.org/wiki/Bunge_Global,Agricultural Products & Services,"Chesterfield, Missouri",2023-03-15,Food processing,67.23,"1,610,000,000 United States dollar (2022)",23000,,Kathleen Hyle,Johann P. G. Bunge,1818
"BXP, Inc.","https://en.wikipedia.org/wiki/BXP,_Inc.",Office REITs,"Boston, Massachusetts",2006-04-03,Real estate,3.274,0.291,836,,Owen D. Thomas,"Mortimer Zuckerman, Edward H. Linde",1970
C.H. Robinson,https://en.wikipedia.org/wiki/C.H._Robinson,Air Freight & Logistics,"Eden Prairie, Minnesota",2007-03-02,"Transportation, Logistics",17.6,0.325,15246,,David Bozeman,Charles Henry Robinson,1905
Cadence Design Systems,https://en.wikipedia.org/wiki/Cadence_Design_Systems,Application Software,"San Jose, California",2017-09-18,Software,4.09,1.04,11200,,Anirudh Devgan,"James Solomon, Richard Newton, Alberto Sangiovanni-Vincentelli",1983
Caesars Entertainment,https://en.wikipedia.org/wiki/Caesars_Entertainment,Casinos & Gaming,"Reno, Nevada",2021-03-22,"Gaming, hospitality",11.5,0.828,510002,,Thomas Reeg,,1996
Camden Property Trust,https://en.wikipedia.org/wiki/Camden_Property_Trust,Multi-Family Residential REITs,"Houston, Texas",2022-04-04,Real estate investment trust,1.542,0.403,1640,,Richard J. Campo,"Richard J. Campo, D. Keith Oden",1981
Campbell Soup Company,https://en.wikipedia.org/wiki/Campbell_Soup_Company,Packaged Foods & Meats,"Camden, New Jersey",1957-03-04,Food processing,8.691,1.628,190003,,Mark Clouse,Joseph A. Campbell,1869
Capital One,https://en.wikipedia.org/wiki/Capital_One,Consumer Finance,"Tysons Corner, Virginia",1998-07-01,Financial services,36.787,4.582,52000,,Richard Fairbank,"Richard Fairbank, Nigel Morris",1994
Cardinal Health,https://en.wikipedia.org/wiki/Cardinal_Health,Health Care Distributors,"Dublin, Ohio",1997-05-27,Healthcare,227.0,0.852,48900,,Jason Hollar,Robert D. Walter,1971
CarMax,https://en.wikipedia.org/wiki/CarMax,Automotive Retail,"Richmond, Virginia",2010-06-28,Used car retailer,18.95,2.37,27000,,Bill Nash,,1993
Carnival,https://en.wikipedia.org/wiki/Carnival_Corporation_%26_plc,"Hotels, Resorts & Cruise Lines","Miami, Florida",1998-12-22,"Hospitality,Tourism",21.593,0.074,90000,,Micky Arison,Ted Arison(for the Carnival Cruise Line),1972
Carrier Global,https://en.wikipedia.org/wiki/Carrier_Global,Building Products,"Palm Beach Gardens, Florida",2020-04-03,Home appliances,22.1,1.35,53000,,Dave Gitlin,Willis Carrier,1915
Catalent,https://en.wikipedia.org/wiki/Catalent,Pharmaceuticals,"Somerset, New Jersey",2020-09-21,Pharmaceuticals,4.38,1.04,16900,,,,2007
Caterpillar Inc.,https://en.wikipedia.org/wiki/Caterpillar_Inc.,Construction Machinery & Heavy Transportation Equipment,"Irving, Texas",1957-03-04,"Heavy equipment, Engines, Financial services",67.06,10.34,113200,,Jim Umpleby,"C.L. Best, Benjamin Holt",1925
Cboe Global Markets,https://en.wikipedia.org/wiki/Cboe_Global_Markets,Financial Exchanges & Data,"Chicago, Illinois",2017-03-01,Security & commodity exchanges,3.77,0.761,1647,,Fredric J Tomczyk,Chicago Board of Trade,1973
CBRE Group,https://en.wikipedia.org/wiki/CBRE_Group,Real Estate Services,"Dallas, Texas",2006-11-10,Real estate,30.8,1.4,44000,,Bob Sulentic,,1906
CDW,https://en.wikipedia.org/wiki/CDW,Technology Distributors,"Vernon Hills, Illinois",2019-09-23,B2BITproducts and services,21.4,1.1,15100,,Christine Leahy,Michael Krasny,1984
Celanese,https://en.wikipedia.org/wiki/Celanese,Specialty Chemicals,"Irving, Texas",2018-12-24,Chemicals and advanced materials,10.9,1.96,12410,,Lori J. Ryerkerk,Camille Dreyfus,1918
Cencora,https://en.wikipedia.org/wiki/Cencora,Health Care Distributors,"Conshohocken, Pennsylvania",2001-08-30,Pharmaceutical,262.0,1.75,46000,,Richard C. Gozon,,2001
Centene Corporation,https://en.wikipedia.org/wiki/Centene_Corporation,Managed Health Care,"St. Louis, Missouri",2016-03-30,"Managed healthcare, Insurance",154.0,2.7,67700,,Sarah London,"Elizabeth ""Betty"" Brinn",1984
CenterPoint Energy,https://en.wikipedia.org/wiki/CenterPoint_Energy,Multi-Utilities,"Houston, Texas",1985-07-31,Utilities,7.418,0.773,8827,,Jason P. Wells,,1882
CF Industries,https://en.wikipedia.org/wiki/CF_Industries,Fertilizers & Agricultural Chemicals,"Deerfield, Illinois",2008-08-27,Chemicals,4.124,0.317,30162,,Tony Will,,1946
Charles River Laboratories,https://en.wikipedia.org/wiki/Charles_River_Laboratories,Life Sciences Tools & Services,"Wilmington, Massachusetts",2021-05-14,"Pharmaceuticals, Biotechnology, Gene Therapy, Cell Therapy, Medical devices",4.13,0.474,21800,,James C. Foster,,1947
Charles Schwab Corporation,https://en.wikipedia.org/wiki/Charles_Schwab_Corporation,Investment Banking & Brokerage,"Westlake, Texas",1997-06-02,Financial services,18.84,5.067,33000,,,Charles R. Schwab,1971
Charter Communications,https://en.wikipedia.org/wiki/Charter_Communications,Cable & Satellite,"Stamford, Connecticut",2016-09-08,TelecommunicationsMass media(Internet),54.61,5.26,101100,,Chris Winfrey,"Barry Babcock, Jerald Kent, Howard Wood",1993
Chevron Corporation,https://en.wikipedia.org/wiki/Chevron_Corporation,Integrated Oil & Gas,"San Ramon, California",1957-03-04,"Energy, Oil and gas",200.9,21.37,45600,,Mike Wirth,"Charles N. Felton, Lloyd Tevis",1879
Chipotle Mexican Grill,https://en.wikipedia.org/wiki/Chipotle_Mexican_Grill,Restaurants,"Newport Beach, California",2011-04-28,Restaurants,9.87,1.23,116068,,,Steve Ells,1993
Chubb Limited,https://en.wikipedia.org/wiki/Chubb_Limited,Property & Casualty Insurance,"Zurich, Switzerland",2010-07-15,Insuranceandreinsurance,49.74,9.028,40000,,Evan G. Greenberg,Thomas Caldecot Chubb,1985
Church & Dwight,https://en.wikipedia.org/wiki/Church_%26_Dwight,Household Products,"Ewing, New Jersey",2015-12-29,"Dental, Medical",5.4,,51002,,Matthew T. Farrell,John DwightAustin Church,1847
Cigna,https://en.wikipedia.org/wiki/Cigna,Health Care Services,"Bloomfield, Connecticut",1976-06-30,"Managed healthcare, Insurance",195.3,5.372,72500,,David Cordani,,1982
Cincinnati Financial,https://en.wikipedia.org/wiki/Cincinnati_Financial,Property & Casualty Insurance,"Fairfield, Ohio",1997-12-18,Insurance,7.536,1.216,5426,,Stephen M. Spray,"John J. Schiff Sr., Robert C. Schiff Sr.",1950
Cintas,https://en.wikipedia.org/wiki/Cintas,Diversified Support Services,"Mason, Ohio",2001-03-01,Service,9.59,1.57,46500,,Todd Schneider,Richard (Doc) Farmer,1929
Cisco,https://en.wikipedia.org/wiki/Cisco,Communications Equipment,"San Jose, California",1993-12-01,"Networking hardware, Networking software",53.8,10.32,90400,,Chuck Robbins,"Leonard Bosack, Sandy Lerner",1984
Citigroup,https://en.wikipedia.org/wiki/Citigroup,Diversified Banks,"New York City, New York",1988-05-31,Financial services,78.46,9.228,239000,,Jane Fraser,,1998
Citizens Financial Group,https://en.wikipedia.org/wiki/Citizens_Financial_Group,Regional Banks,"Providence, Rhode Island",2016-01-29,Banking,8.224,1.965,17570,,Bruce Van Saun,,1828
Clorox,https://en.wikipedia.org/wiki/Clorox,Household Products,"Oakland, California",1969-03-31,"Consumerhousehold goods, food, pet care, commercial cleaning",7.09,0.28,8000,,Linda Rendle,"Archibald Taft, Edward Hughes, Charles Husband, Rufus Myers, William Hussey",1913
CME Group,https://en.wikipedia.org/wiki/CME_Group,Financial Exchanges & Data,"Chicago, Illinois",2006-08-11,Financial Services,5.589,3.226,3565,,Terrence A. Duffy,,1848
CMS Energy,https://en.wikipedia.org/wiki/CMS_Energy,Multi-Utilities,"Jackson, Michigan",1957-03-04,Energy,7.46,0.887,8356,,Garrick Rochow,,1886
Coca-Cola Company (The),https://en.wikipedia.org/wiki/The_Coca-Cola_Company,Soft Drinks & Non-alcoholic Beverages,"Atlanta, Georgia",1957-03-04,Beverage,45.8,10.7,79100,,James Quincey,Asa Griggs Candler,1892
Cognizant,https://en.wikipedia.org/wiki/Cognizant,IT Consulting & Other Services,"Teaneck, New Jersey",2006-11-17,Information technology consultingOutsourcing,19.42,2.29,336300,,Ravi Kumar Singisetti,Kumar MahadevaFrancisco D'SouzaSrini Raju,1994
Colgate-Palmolive,https://en.wikipedia.org/wiki/Colgate-Palmolive,Household Products,"New York City, New York",1957-03-04,Consumer goods,19.5,2.3,34000,,Noel Wallace,"William Colgate(Colgate), Burdett J. Johnson (Palmolive), William J. Peet and Robert Peet (Peet Brothers)",1806
Comcast,https://en.wikipedia.org/wiki/Comcast,Cable & Satellite,"Philadelphia, Pennsylvania",2002-11-19,"Telecommunications, Media, Entertainment",121.6,15.11,186000,,Brian L. Roberts,Ralph J. Roberts,1963
Conagra Brands,https://en.wikipedia.org/wiki/Conagra_Brands,Packaged Foods & Meats,"Chicago, Illinois",1983-08-31,Food processing,12.1,0.347,18500,,Sean Connolly,Alva Kinney,1919
ConocoPhillips,https://en.wikipedia.org/wiki/ConocoPhillips,Oil & Gas Exploration & Production,"Houston, Texas",1957-03-04,Oil and gas,58.57,10.96,9900,,Ryan Lance,Frank Phillips,1875
Consolidated Edison,https://en.wikipedia.org/wiki/Consolidated_Edison,Multi-Utilities,"New York City, New York",1957-03-04,Energy,14.66,2.516,14592,,Tim Cawley,,1823
Constellation Brands,https://en.wikipedia.org/wiki/Constellation_Brands,Distillers & Vintners,"Rochester, New York",2005-07-01,Beverages,9.355,2.031,93003,,Rob Sands,Marvin Sands,1945
Constellation Energy,https://en.wikipedia.org/wiki/Constellation_Energy,Electric Utilities,"Baltimore, Maryland",2022-02-02,Energy,24.92,1.577,13871,,Joseph Dominguez,,1999
