Company Name,Link to Wikipedia Page,GICS Sector,GICS Sub-Industry,Headquarters Location,Industry,Revenue,Net Income,Number of Employees,Market Cap,CEO,Founder(s),Founded
PNC Financial Services,https://en.wikipedia.org/wiki/PNC_Financial_Services,Diversified Banks,"Pittsburgh, Pennsylvania",1988-04-30,"Banking, Investment banking, Financial services",21.1,6.1,59426,,William S. Demchak,,1845
Pool Corporation,https://en.wikipedia.org/wiki/Pool_Corporation,Distributors,"Covington, Louisiana",2020-10-07,Swimming pools,5.541,0.523,6000,,,Frank St. Romain,1980
PPG Industries,https://en.wikipedia.org/wiki/PPG_Industries,Specialty Chemicals,"Pittsburgh, Pennsylvania",1957-03-04,Chemicals,17.652,1.026,52000,,Tim Knavish,"John Baptiste Ford, John Pitcairn Jr.",1883
PPL Corporation,https://en.wikipedia.org/wiki/PPL_Corporation,Electric Utilities,"Allentown, Pennsylvania",2001-10-01,Electric utilities,7.9,0.756,6500,,,,1920
Principal Financial Group,https://en.wikipedia.org/wiki/Principal_Financial_Group,Life & Health Insurance,"Des Moines, Iowa",2002-07-22,"Insurance, Financial Services",14.263,1.711,18600,,Daniel Houston,Edward Temple,1879
Procter & Gamble,https://en.wikipedia.org/wiki/Procter_%26_Gamble,Personal Care Products,"Cincinnati, Ohio",1957-03-04,"Consumer goods, Household products",84.04,14.88,108000,,,"William Procter, James Gamble",1837
Progressive Corporation,https://en.wikipedia.org/wiki/Progressive_Corporation,Property & Casualty Insurance,"Mayfield Village, Ohio",1997-08-04,Insurance,49.61,0.7215,55100,,Lawton W. Fitt,,1937
Prologis,https://en.wikipedia.org/wiki/Prologis,Industrial REITs,"San Francisco, California",2003-07-17,Real estate,8.02,3.05,2574,,Hamid Moghadam,"Hamid Moghadam, Doug Abbey, T. Robert Burke",1983
Prudential Financial,https://en.wikipedia.org/wiki/Prudential_Financial,Life & Health Insurance,"Newark, New Jersey",2002-07-22,Financial services,53.98,2.508,40658,,Charles Lowrey,John F. Dryden,1875
Public Service Enterprise Group,https://en.wikipedia.org/wiki/Public_Service_Enterprise_Group,Electric Utilities,"Newark, New Jersey",1957-03-04,Utilities,10.076,1.693,129452,,Ralph LaRossa,,1903
PTC Inc.,https://en.wikipedia.org/wiki/PTC_(software_company),Application Software,"Boston, Massachusetts",2021-04-20,CAD/CAM/CAE/PLMSoftware/ ALM/ SLM/IOT,2.1,0.246,7231,,Neil Barua,,1985
Public Storage,https://en.wikipedia.org/wiki/Public_Storage,Self-Storage REITs,"Glendale, California",2005-08-19,"Real estate investment trust, self storage",4.52,2.16,6200,,"Joseph D. Russell, Jr.","B. Wayne Hughes, Kenneth Volk Jr.",1972
PulteGroup,https://en.wikipedia.org/wiki/PulteGroup,Homebuilding,"Atlanta, Georgia",1984-04-30,Home construction,13.927,1.93,6182,,,Bill Pulte,1950
Qorvo,https://en.wikipedia.org/wiki/Qorvo,Semiconductors,"Greensboro, North Carolina",2015-06-11,"Wireless handsets, base station, broadband communications, military, foundry",3.77,0.07,8700,,Robert Bruggeworth,,2015
Quanta Services,https://en.wikipedia.org/wiki/Quanta_Services,Construction & Engineering,"Houston, Texas",2009-07-01,,29.94,,40000,,Earl C. Austin Jr.,,1997
Qualcomm,https://en.wikipedia.org/wiki/Qualcomm,Semiconductors,"San Diego, California",1999-07-22,Telecoms equipmentsSemiconductors,38.96,10.14,49000,,Cristiano Amon,"Irwin Jacobs, Andrew Viterbi, Franklin Antonio",1985
Quest Diagnostics,https://en.wikipedia.org/wiki/Quest_Diagnostics,Health Care Services,"Secaucus, New Jersey",2002-12-12,Health care,9.25,0.854,48000,,Jim Davis,Paul Brown,1967
Ralph Lauren Corporation,https://en.wikipedia.org/wiki/Ralph_Lauren_Corporation,"Apparel, Accessories & Luxury Goods","New York City, New York",2007-02-02,Fashion,6.63,0.646,23400,,Patrice Louvet,Ralph Lauren,1967
Raymond James Financial,https://en.wikipedia.org/wiki/Raymond_James_Financial,Investment Banking & Brokerage,"St. Petersburg, Florida",2017-03-20,Investment services,12.99,1.733,18000,,Paul Reilly,Robert James,1962
RTX Corporation,https://en.wikipedia.org/wiki/RTX_Corporation,Aerospace & Defense,"Waltham, Massachusetts",1957-03-04,"Aerospace, Defense, Information Security, Electronics",68.92,3.2,185000,,Christopher T. Calio,"Vannevar BushLaurence K. MarshallCharles G. Smith (asAmerican Appliance Company, laterRaytheonin 1922)Frederick Rentschler(asUnited Technologiesin 1934)",2020
Realty Income,https://en.wikipedia.org/wiki/Realty_Income,Retail REITs,"San Diego, California",2015-04-07,Real estate investment trust,4.079,0.8723,418,,,"William E. Clark, Jr.Evelyn J. Clark",1969
Regency Centers,https://en.wikipedia.org/wiki/Regency_Centers,Retail REITs,"Jacksonville, Florida",2017-03-02,Real estate investment trust,1.133,0.239,450,,Martin E.,,1963
Regeneron Pharmaceuticals,https://en.wikipedia.org/wiki/Regeneron_Pharmaceuticals,Biotechnology,"Tarrytown, New York",2013-05-01,"Pharmaceuticals, Biotech",13.12,3.95,13450,,Leonard Schleifer,"Leonard Schleifer, George Yancopoulos",1988
Regions Financial Corporation,https://en.wikipedia.org/wiki/Regions_Financial_Corporation,Regional Banks,"Birmingham, Alabama",1998-08-28,Financial services,7.531,2.146,20073,,,,1971
Republic Services,https://en.wikipedia.org/wiki/Republic_Services,Environmental & Facilities Services,"Phoenix, Arizona",2008-12-05,Waste management,0.013,0.001,400005,,,,1998
ResMed,https://en.wikipedia.org/wiki/ResMed,Health Care Equipment,"San Diego, California",2017-07-26,Medical,4.69,1.02,9980,,"Michael ""Mick"" Farrell",Peter C. Farrell,1989
Revvity,https://en.wikipedia.org/wiki/Revvity,Health Care Equipment,"Waltham, Massachusetts",1985-05-31,Biotechnology,2.7,,11000,,Prahlad Singh,,2023
Rockwell Automation,https://en.wikipedia.org/wiki/Rockwell_Automation,Electrical Components & Equipment,"Milwaukee, Wisconsin",2000-03-12,,9.06,1.39,29000,,Blake Moret,,1903
"Rollins, Inc.","https://en.wikipedia.org/wiki/Rollins,_Inc.",Environmental & Facilities Services,"Atlanta, Georgia",2018-10-01,Pest controlConglomerate,2.695,,19031,,,,1948
Roper Technologies,https://en.wikipedia.org/wiki/Roper_Technologies,Electronic Equipment & Instruments,"Sarasota, Florida",2009-12-23,Conglomerate,6.18,1.38,16800,,Neil Hunn,,1890
Ross Stores,https://en.wikipedia.org/wiki/Ross_Stores,Apparel Retail,"Dublin, California",2009-12-21,Retail,14.89,1.02,88100,,Barbara Rentler,Morris RossBill Isackson,1950
Royal Caribbean Group,https://en.wikipedia.org/wiki/Royal_Caribbean_Group,"Hotels, Resorts & Cruise Lines","Miami, Florida",2014-12-05,"Hospitality, Travel, Tourism",13.9,1.704,107700,,,Arne Wilhelmsen,1997
S&P Global,https://en.wikipedia.org/wiki/S%26P_Global,Financial Exchanges & Data,"New York City, New York",1957-03-04,Financial services,12.5,2.63,40450,,Douglas L. Peterson,"James H. McGraw, John A. Hill",1917
Salesforce,https://en.wikipedia.org/wiki/Salesforce,Application Software,"San Francisco, California",2008-09-15,"Cloud computing, Enterprise software, Consulting",34.86,4.136,72682,,Marc Benioff,"Marc Benioff, Parker Harris, Dave Moellenhoff, Frank Dominguez",1999
SBA Communications,https://en.wikipedia.org/wiki/SBA_Communications,Telecom Tower REITs,"Boca Raton, Florida",2017-09-01,Real Estate Investment Trust,,,,,,,
Schlumberger,https://en.wikipedia.org/wiki/Schlumberger,Oil & Gas Equipment & Services,"Houston, Texas",1957-03-04,Oilfieldservices and equipment,33.14,4.203,111000,,Olivier Le Peuch,Conrad SchlumbergerMarcel Schlumberger,1926
Seagate Technology,https://en.wikipedia.org/wiki/Seagate_Technology,"Technology Hardware, Storage & Peripherals","Dublin, Ireland",2012-07-02,Computer storage,6.55,0.335,30000,,Michael R. Cannon,"Alan Shugart, Tom Mitchell, Doug Mahon, Finis Conner, Syed Iftikar",1979
Sempra,https://en.wikipedia.org/wiki/Sempra,Multi-Utilities,"San Diego, California",2017-03-17,Utilities,16.7,3.6,20000,,Jeffrey W. Martin,,1998
ServiceNow,https://en.wikipedia.org/wiki/ServiceNow,Systems Software,"Santa Clara, California",2019-11-21,Enterprise software,8.97,1.73,22668,,Bill McDermott,"Fred Luddy, David Loo, Don Goodliffe, Bow Ruggeri, Patrick Casey",2003
Sherwin-Williams,https://en.wikipedia.org/wiki/Sherwin-Williams,Specialty Chemicals,"Cleveland, Ohio",1964-06-30,Chemicals,23.05,2.39,64088,,Heidi G. Petz,"Henry Sherwin, Edward Williams",1866
Simon Property Group,https://en.wikipedia.org/wiki/Simon_Property_Group,Retail REITs,"Indianapolis, Indiana",2002-06-26,Real estate investment trust,5.66,2.28,3000,,David E. Simon,"Melvin Simon, Herbert Simon",1993
Skyworks Solutions,https://en.wikipedia.org/wiki/Skyworks_Solutions,Semiconductors,"Irvine, California",2015-03-12,Semiconductors,4.77,0.98,9750,,Liam Griffin,,2002
J.M. Smucker Company (The),https://en.wikipedia.org/wiki/The_J.M._Smucker_Company,Packaged Foods & Meats,"Orrville, Ohio",2008-11-06,"Food, Beverage",8.18,0.744,9000,,Mark Smucker,Jerome Monroe Smucker,1897
Smurfit WestRock,https://en.wikipedia.org/wiki/Smurfit_WestRock,Paper & Plastic Packaging Products & Materials,"Dublin, Ireland",2024-07-08,Packaging,0.011,0.759,100000,,Anthony Smurfit,,1934
Snap-on,https://en.wikipedia.org/wiki/Snap-on,Industrial Machinery & Supplies & Components,"Kenosha, Wisconsin",1982-09-30,Manufacturing,4.73,1.01,13200,,Nicholas T. Pinchuk,"Joseph Johnson, Bill Seidemann",1920
Solventum,https://en.wikipedia.org/wiki/Solventum,Health Care Technology,"Saint Paul, Minnesota",2024-04-01,Health care,8.2,1.3,22000,,Bryan Hanson,,2023
Southern Company,https://en.wikipedia.org/wiki/Southern_Company,Electric Utilities,"Atlanta, Georgia",1957-03-04,"Energy,Telecom",29.3,3.52,27700,,,,1945
Southwest Airlines,https://en.wikipedia.org/wiki/Southwest_Airlines,Passenger Airlines,"Dallas, Texas",1994-07-01,,26.1,0.465,,,Bob Jordan,"Herb Kelleher, Rollin King",1967
Stanley Black & Decker,https://en.wikipedia.org/wiki/Stanley_Black_%26_Decker,Industrial Machinery & Supplies & Components,"New Britain, Connecticut",1982-09-30,Manufacturing,15.78,0.311,50500,,Don Allan,Frederick Trent Stanley,1843
Starbucks,https://en.wikipedia.org/wiki/Starbucks,Restaurants,"Seattle, Washington",2000-06-07,Coffee shop,35.98,4.125,381000,,Brian Niccol,"Jerry Baldwin, Zev Siegl, Gordon Bowker",1971
State Street Corporation,https://en.wikipedia.org/wiki/State_Street_Corporation,Asset Management & Custody Banks,"Boston, Massachusetts",2003-03-14,"Financial services, Investment management",11.95,1.944,46000,,Ronald P. O’Hanley,,1792
Steel Dynamics,https://en.wikipedia.org/wiki/Steel_Dynamics,Steel,"Fort Wayne, Indiana",2022-12-22,Metals,22.261,3.863,12060,,Mark D. Millett,,1993
Steris,https://en.wikipedia.org/wiki/Steris,Health Care Equipment,"Dublin, Ireland",2019-12-23,Medical devices,5.14,0.378,18179,,Daniel A. Carestio,,1985
Stryker Corporation,https://en.wikipedia.org/wiki/Stryker_Corporation,Health Care Equipment,"Kalamazoo, Michigan",2000-12-12,Medical technology,20.5,3.17,52000,,Kevin A. Lobo,Homer Stryker,1941
Supermicro,https://en.wikipedia.org/wiki/Supermicro,"Technology Hardware, Storage & Peripherals","San Jose, California",2024-03-18,Information technology,7.12,0.64,5126,,Charles Liang,"Charles Liang, Sara Liu",1993
Synchrony Financial,https://en.wikipedia.org/wiki/Synchrony_Financial,Consumer Finance,"Stamford, Connecticut",2015-11-18,Financial services,14.8,4.21,16500,,Brian Doubles,,2003
Synopsys,https://en.wikipedia.org/wiki/Synopsys,Application Software,"Sunnyvale, California",2017-03-16,"Integrated circuit, Software as a service, Software Testing, Internet of Things",5.84,1.22,20300,,Sassine Ghazi,"Aart de Geus, David Gregory, Bill Krieger",1986
Sysco,https://en.wikipedia.org/wiki/Sysco,Food Distributors,"Houston, Texas",1986-12-31,Wholesale,78.8,1.96,76000,,Kevin Hourican,"Herbert Irving, John F. Baugh, Harry Rosenthal",1969
T-Mobile US,https://en.wikipedia.org/wiki/T-Mobile_US,Wireless Telecommunication Services,"Bellevue, Washington",2019-07-15,Telecommunications,78.6,8.3,67000,,Mike Sievert,John W. Stanton,1994
T. Rowe Price,https://en.wikipedia.org/wiki/T._Rowe_Price,Asset Management & Custody Banks,"Baltimore, Maryland",2019-07-29,Investment Management,6.46,1.79,78681,,Rob Sharps,Thomas Rowe Price Jr.,1937
Take-Two Interactive,https://en.wikipedia.org/wiki/Take-Two_Interactive,Interactive Home Entertainment,"New York City, New York",2018-03-19,Video games,5.349,3.74,123711,,,Ryan Brant,1993
"Tapestry, Inc.","https://en.wikipedia.org/wiki/Tapestry,_Inc.","Apparel, Accessories & Luxury Goods","New York City, New York",2004-09-01,"Fashion, accessories",6.67,0.816,18600,,Joanne Crevoiserat,,2000
Targa Resources,https://en.wikipedia.org/wiki/Targa_Resources,Oil & Gas Storage & Transportation,"Houston, Texas",2022-10-12,,,,2430,,Matthew J. Meloy,,2005
Target Corporation,https://en.wikipedia.org/wiki/Target_Corporation,Consumer Staples Merchandise Retail,"Minneapolis, Minnesota",1976-12-31,Retail,107.4,4.138,415000,,Brian C. Cornell,"George Dayton(corporation), Douglas DaytonandJohn Geisse(store)",1902
TE Connectivity,https://en.wikipedia.org/wiki/TE_Connectivity,Electronic Manufacturing Services,"Galway, Ireland",2011-10-17,electronics industry,16.03,1.91,90000,,Terrence Curtin,,2007
Teledyne Technologies,https://en.wikipedia.org/wiki/Teledyne_Technologies,Electronic Equipment & Instruments,"Thousand Oaks, California",2020-06-22,Conglomerate,5.64,0.887,14900,,Edwin Roks,"Henry Singleton, George Kozmetsky, Arthur Rock",1960
Teleflex,https://en.wikipedia.org/wiki/Teleflex,Health Care Equipment,"Wayne, Pennsylvania",2019-01-18,medical device manufacturing,2.448,,15000,,Liam J. Kelly,,1943
Teradyne,https://en.wikipedia.org/wiki/Teradyne,Semiconductor Materials & Equipment,"North Reading, Massachusetts",2020-09-21,Test & Automation,2.68,0.449,6500,,,"Alex d'Arbeloff, Nick DeWolf",1960
"Tesla, Inc.","https://en.wikipedia.org/wiki/Tesla,_Inc.",Automobile Manufacturers,"Austin, Texas",2020-12-21,"Automotive, Renewable energy",96.8,15.0,140473,,Elon Musk,Martin EberhardMarc Tarpenning(See§ Founding),2003
Texas Instruments,https://en.wikipedia.org/wiki/Texas_Instruments,Semiconductors,"Dallas, Texas",2001-03-12,Semiconductors,17.52,6.51,34000,,Haviv Ilan,"Cecil H. Green, J. Erik Jonsson, Eugene McDermott, Patrick E. Haggerty",1930
Textron,https://en.wikipedia.org/wiki/Textron,Aerospace & Defense,"Providence, Rhode Island",1978-12-31,"Aerospace, Automotive, Defense",13.7,0.921,35000,,Scott C. Donnelly,Royal Little,1923
Thermo Fisher Scientific,https://en.wikipedia.org/wiki/Thermo_Fisher_Scientific,Life Sciences Tools & Services,"Waltham, Massachusetts",2004-08-03,"Laboratory equipment, biotechnology, pharmaceutical, healthcare",42.86,5.955,122000,,Marc N. Casper,,1956
TJX Companies,https://en.wikipedia.org/wiki/TJX_Companies,Apparel Retail,"Framingham, Massachusetts",1985-09-30,Retail,54.22,4.474,349000,,Ernie Herrman,Bernard Cammarata,1987
Tractor Supply,https://en.wikipedia.org/wiki/Tractor_Supply,Other Specialty Retail,"Brentwood, Tennessee",2014-01-24,Retail,14.6,1.11,50000,,Hal Lawton,Charles Schmidt,1938
Trane Technologies,https://en.wikipedia.org/wiki/Trane_Technologies,Building Products,"Dublin, Ireland",2010-11-17,Equipment manufacturing,17.68,2.024,40000,,Dave Regnery,,1871
TransDigm Group,https://en.wikipedia.org/wiki/TransDigm_Group,Aerospace & Defense,"Cleveland, Ohio",2016-06-03,Aerospace components,6.585,1.299,15500,,Kevin Stein,"W. Nicholas Howley, Douglas W. Peacock",1993
Travelers Companies (The),https://en.wikipedia.org/wiki/The_Travelers_Companies,Property & Casualty Insurance,"New York City, New York",2002-08-21,"Insurance, Financial services",41.36,2.991,33300,,Alan D. Schnitzer,,1853
Trimble Inc.,https://en.wikipedia.org/wiki/Trimble_Inc.,Electronic Equipment & Instruments,"Westminster, Colorado",2021-01-21,"Geospatial, Construction, Agriculture, Transportation and Logistics, Telecommunications,Asset tracking, Mapping, Utilities, Mobile Resource Management, Government,RFID",3.8,0.311,12700,,Robert Painter,"Charles Trimble, et al.",1978
Truist Financial,https://en.wikipedia.org/wiki/Truist_Financial,Diversified Banks,"Charlotte, North Carolina",1997-12-04,Financial services,33.25,1.05,40000,,William H. Rogers Jr.,,2019
Tyler Technologies,https://en.wikipedia.org/wiki/Tyler_Technologies,Application Software,"Plano, Texas",2020-06-22,Software,1.85,0.164,7200,,,Joseph F. McKinney,1966
Tyson Foods,https://en.wikipedia.org/wiki/Tyson_Foods,Packaged Foods & Meats,"Springdale, Arkansas",2005-08-10,Food processing,53.282,3.238,142000,,John H. Tyson,John W. Tyson,1935
U.S. Bancorp,https://en.wikipedia.org/wiki/U.S._Bancorp,Diversified Banks,"Minneapolis, Minnesota",1999-11-01,Financial services,28.144,5.429,77000,,Andrew Cecere,,1863
Uber,https://en.wikipedia.org/wiki/Uber,Passenger Ground Transportation,"San Francisco, California",2023-12-18,"Transportation, Mobility as a service",37.281,1.887,30400,,Dara Khosrowshahi,"Garrett Camp, Travis Kalanick",2009
"UDR, Inc.","https://en.wikipedia.org/wiki/UDR,_Inc.",Multi-Family Residential REITs,"Highlands Ranch, Colorado",2016-03-07,Real estate investment trust,1.241,0.06,1271,,,,1972
Ulta Beauty,https://en.wikipedia.org/wiki/Ulta_Beauty,Other Specialty Retail,"Bolingbrook, Illinois",2016-04-18,,11.2,1.29,56000,,Dave Kimbell,"Terry Hanson, Dick George",1990
Union Pacific Corporation,https://en.wikipedia.org/wiki/Union_Pacific_Corporation,Rail Transportation,"Omaha, Nebraska",1957-03-04,Transportation,24.1,6.4,31490,,Jim Vena,,1969
United Airlines Holdings,https://en.wikipedia.org/wiki/United_Airlines_Holdings,Passenger Airlines,"Chicago, Illinois",2015-09-03,Aviation,53.7,2.6,103300,,Scott Kirby,,1968
United Parcel Service,https://en.wikipedia.org/wiki/United_Parcel_Service,Air Freight & Logistics,"Sandy Springs, Georgia",2002-07-22,Courier,90.96,6.708,500000,,Carol B. Tomé,James E. Casey,1907
United Rentals,https://en.wikipedia.org/wiki/United_Rentals,Trading Companies & Distributors,"Stamford, Connecticut",2014-09-20,,14.332,2.424,247003,,Michael J. Kneeland,,1997
UnitedHealth Group,https://en.wikipedia.org/wiki/UnitedHealth_Group,Managed Health Care,"Minnetonka, Minnesota",1994-07-01,"Managed healthcare, Insurance",371.6,23.14,440000,,Andrew Witty,Richard T. Burke,1977
Universal Health Services,https://en.wikipedia.org/wiki/Universal_Health_Services,Health Care Facilities,"King of Prussia, Pennsylvania",2014-09-20,,,,96700,,Marc D. Miller,,1979
Valero Energy,https://en.wikipedia.org/wiki/Valero_Energy,Oil & Gas Refining & Marketing,"San Antonio, Texas",2002-12-20,Oil and gas,144.8,8.835,9908,,Lane Riggs,William Greehey,1980
Ventas,https://en.wikipedia.org/wiki/Ventas_(company),Health Care REITs,"Chicago, Illinois",2009-03-04,Real estate investment trustHealth care,3.8,0.433,500,,,,1998
Veralto,https://en.wikipedia.org/wiki/Veralto,Environmental & Facilities Services,"Waltham, Massachusetts",2023-10-02,Conglomerate,23.9,4.76,63000,,Steven Rales,"Steven Rales, Mitchell Rales",1969
Verisign,https://en.wikipedia.org/wiki/Verisign,Internet Services & Infrastructure,"Dulles, Virginia",2006-02-01,"Internet,communications",1.49,0.818,908,,James Bidzos,James Bidzos,1995
Verisk Analytics,https://en.wikipedia.org/wiki/Verisk_Analytics,Research & Consulting Services,"Jersey City, New Jersey",2015-10-08,Data analyticsandrisk assessment,2.68,0.614,7500,,Lee Shavel,,1971
Verizon,https://en.wikipedia.org/wiki/Verizon,Integrated Telecommunication Services,"New York City, New York",1983-11-30,"Telecommunications, Mass media",133.97,12.095,105400,,Hans Vestberg,,1983
Vertex Pharmaceuticals,https://en.wikipedia.org/wiki/Vertex_Pharmaceuticals,Biotechnology,"Boston, Massachusetts",2013-09-23,"Pharmaceuticals, Biotherapeutics",9.87,3.62,5400,,Reshma Kewalramani,,1989
Viatris,https://en.wikipedia.org/wiki/Viatris,Pharmaceuticals,"Pittsburgh, Pennsylvania",2004-04-23,"Pharmaceuticals, Healthcare",15.39,0.054700000000000006,38000,,Scott A. Smith,,2020
Vici Properties,https://en.wikipedia.org/wiki/Vici_Properties,Hotel & Resort REITs,"New York City, New York",2022-06-08,Real estate investment trust,3.61,2.55,283,,Edward B. Pitoniak,,2017
Visa Inc.,https://en.wikipedia.org/wiki/Visa_Inc.,Transaction & Payment Processing Services,"San Francisco, California",2009-12-21,Payment cards services,32.7,17.3,28800,,Ryan McInerney,Dee Hock,1958
Vistra Corp.,https://en.wikipedia.org/wiki/Vistra_Corp,Electric Utilities,"Irving, Texas",2024-05-08,Energy and Power Generation,11.4,,4870,,Jim Burke,,2016
Vulcan Materials Company,https://en.wikipedia.org/wiki/Vulcan_Materials_Company,Construction Materials,"Birmingham, Alabama",1999-06-30,Construction materials,7.315,,120002,,,,1909
W. R. Berkley Corporation,https://en.wikipedia.org/wiki/W._R._Berkley_Corporation,Property & Casualty Insurance,"Greenwich, Connecticut",2019-12-05,Insurance,11.166,1.318,7448,,,William R. Berkley,1967
W. W. Grainger,https://en.wikipedia.org/wiki/W._W._Grainger,Industrial Machinery & Supplies & Components,"Lake Forest, Illinois",1981-06-30,Industrial supply distribution,16.48,1.9,26000,,D.G. Macpherson,William Wallace Grainger,1927
Wabtec,https://en.wikipedia.org/wiki/Wabtec,Construction Machinery & Heavy Transportation Equipment,"Pittsburgh, Pennsylvania",2019-02-27,Rail industry,0.009,0.641,27000,,Rafael Santana,,1999
Walgreens Boots Alliance,https://en.wikipedia.org/wiki/Walgreens_Boots_Alliance,Drug Retail,"Deerfield, Illinois",1979-12-31,Retailandpharmaceuticals,147.7,8.64,312000,,Tim Wentworth,,2014
Walmart,https://en.wikipedia.org/wiki/Walmart,Consumer Staples Merchandise Retail,"Bentonville, Arkansas",1982-08-31,Retail,648.12,16.27,2100000,,Doug McMillon,"Sam Walton,Bud Walton",1962
Walt Disney Company (The),https://en.wikipedia.org/wiki/The_Walt_Disney_Company,Movies & Entertainment,"Burbank, California",1976-06-30,"Media, entertainment",88.898,2.354,225000,,Bob Iger,"Walt Disney, Roy O. Disney",1923
Warner Bros. Discovery,https://en.wikipedia.org/wiki/Warner_Bros._Discovery,Broadcasting,"New York City, New York",2022-04-11,"Media, Entertainment",41.32,3.13,34300,,David Zaslav,,2022
Waste Management,"https://en.wikipedia.org/wiki/Waste_Management,_Inc.",Environmental & Facilities Services,"Houston, Texas",1998-08-31,Waste management,20.426,2.304,48000,,"James C. Fish, Jr.","Wayne Huizenga, Dean Buntrock",1968
Waters Corporation,https://en.wikipedia.org/wiki/Waters_Corporation,Life Sciences Tools & Services,"Milford, Massachusetts",2002-01-02,Life sciences,2.96,0.642,7900,,Udit Batra,James Logan Waters,1958
WEC Energy Group,https://en.wikipedia.org/wiki/WEC_Energy_Group,Electric Utilities,"Milwaukee, Wisconsin",2008-10-31,Diversified utilities,7.65,,80001,,,,1896
Wells Fargo,https://en.wikipedia.org/wiki/Wells_Fargo,Diversified Banks,"San Francisco, California",1976-06-30,Financial services,73.8,13.2,238698,,Charles Scharf,"Henry Wells, William Fargo",1929
Welltower,https://en.wikipedia.org/wiki/Welltower,Health Care REITs,"Toledo, Ohio",2009-01-30,Real estate investment trust,4.742,0.374,464,,,,1970
West Pharmaceutical Services,https://en.wikipedia.org/wiki/West_Pharmaceutical_Services,Health Care Supplies,"Exton, Pennsylvania",2020-05-22,Medical devicesPharmaceuticals,0.001,0.2417,8200,,Eric M. Green,,1923
Western Digital,https://en.wikipedia.org/wiki/Western_Digital,"Technology Hardware, Storage & Peripherals","San Jose, California",2009-07-01,Computer storage,12.3,1.7,53000,,David Goeckeler,Alvin B. Phillips,1970
Weyerhaeuser,https://en.wikipedia.org/wiki/Weyerhaeuser,Timber REITs,"Seattle, Washington",1979-10-01,Real estate investment trust,10.18,1.88,9214,,Devin Stockfish,Friedrich Weyerhäuser,1900
Williams Companies,https://en.wikipedia.org/wiki/Williams_Companies,Oil & Gas Storage & Transportation,"Tulsa, Oklahoma",1975-03-31,Petroleum,10.965,2.046,4783,,Alan S. Armstrong,"David Williams, Miller Williams",1908
Willis Towers Watson,https://en.wikipedia.org/wiki/Willis_Towers_Watson,Insurance Brokers,"London, United Kingdom",2016-01-05,Insurance broker,9.48,1.06,48000,,,Henry Willis,2016
Wynn Resorts,https://en.wikipedia.org/wiki/Wynn_Resorts,Casinos & Gaming,"Paradise, Nevada",2008-11-14,"Hospitality,Tourism,Gaming",3.7,0.42,27000,,Craig Billings,"Steve Wynn, Kazuo Okada",2002
Xcel Energy,https://en.wikipedia.org/wiki/Xcel_Energy,Multi-Utilities,"Minneapolis, Minnesota",1957-03-04,Utilities,14.21,1.771,11311,,Robert C. Frenzel,H.M. Byllesby,1909
Xylem Inc.,https://en.wikipedia.org/wiki/Xylem_Inc.,Industrial Machinery & Supplies & Components,"White Plains, New York",2011-11-01,Manufacturing,6.29,0.609,23000,,Matthew Pine,,2011
Yum! Brands,https://en.wikipedia.org/wiki/Yum!_Brands,Restaurants,"Louisville, Kentucky",1997-10-06,Foodservice,7.076,1.597,34000,,David Gibbs,,1997
Zebra Technologies,https://en.wikipedia.org/wiki/Zebra_Technologies,Electronic Equipment & Instruments,"Lincolnshire, Illinois",2019-12-23,"Computer hardware,Manufacturing,Retail,Health care,Transportation and logistics",4.58,0.296,9750,,William Burns,"Ed Kaplan, Gerhard Cless",1969
Zimmer Biomet,https://en.wikipedia.org/wiki/Zimmer_Biomet,Health Care Equipment,"Warsaw, Indiana",2001-08-07,,7.39,1.02,18000,,Ivan Tornos,Justin O. Zimmer,1927
Zoetis,https://en.wikipedia.org/wiki/Zoetis,Pharmaceuticals,"Parsippany, New Jersey",2013-06-21,Pharmaceutical,8.54,2.34,14100,,Kristin Peck,,1952
